binarytrees,perl,1,12,481,9.277,3780,0,%,0
binarytrees,perl,1,14,481,50.135,10548,0,%,0
binarytrees,perl,1,16,481,254.18,37604,0,%,0
binarytrees,perl,2,12,541,7.596,4440,0,%,0
binarytrees,perl,2,14,541,41.763,13128,0,%,0
binarytrees,perl,2,16,541,239.359,47936,0,%,0
fannkuch,perl,1,9,348,5.812,1492,0,%,0
fannkuch,perl,1,10,348,66.196,1496,0,%,0
fannkuch,perl,1,11,348,855.717,1492,0,%,0
fannkuch,perl,2,9,313,6.536,1476,0,%,0
fannkuch,perl,2,10,313,74.705,1476,0,%,0
fannkuch,perl,2,11,313,917.585,1476,0,%,0
fasta,perl,1,250000,791,7.744,1860,0,%,0
fasta,perl,1,2500000,791,77.233,1856,0,%,0
fasta,perl,1,25000000,791,773.424,1856,0,%,0
fasta,perl,2,250000,886,13.965,3284,0,%,0
fasta,perl,2,2500000,886,139.429,1864,0,%,0
fasta,perl,2,25000000,886,1405.956,1868,0,%,0
fasta,perl,4,250000,934,9.433,3284,0,%,0
fasta,perl,4,2500000,934,95.594,1872,0,%,0
fasta,perl,4,25000000,934,950.035,1872,0,%,0
hello,perl,1,1,48,0.056,2216,0,%,0
hello,perl,1,200,48,1.344,2224,0,%,0
knucleotide,perl,2,10000,359,0.564,8060,0,%,0
knucleotide,perl,2,100000,359,3.916,29128,0,%,0
knucleotide,perl,2,1000000,359,32.07,42816,0,%,0
mandelbrot,perl,2,120,311,0.688,1488,0,%,0
mandelbrot,perl,2,600,311,15.933,1532,0,%,0
mandelbrot,perl,2,3000,311,403.201,1724,0,%,0
nbody,perl,1,200000,1140,16.953,1936,0,%,0
nbody,perl,1,2000000,1140,167.814,1936,0,%,0
nbody,perl,1,20000000,1140,1697.594,1936,0,%,0
nsieve,perl,2,7,290,6.1,31612,0,%,0
nsieve,perl,2,8,290,12.513,61716,0,%,0
nsieve,perl,2,9,290,25.446,121904,0,%,0
nsieve,perl,4,7,308,8.317,4276,0,%,0
nsieve,perl,4,8,308,16.977,6508,0,%,0
nsieve,perl,4,9,308,34.31,11504,0,%,0
nsievebits,perl,1,9,253,24.21,2132,0,%,0
nsievebits,perl,1,10,253,49.835,2756,0,%,0
nsievebits,perl,1,11,253,100.182,4004,0,%,0
partialsums,perl,3,25000,389,0.224,1476,0,%,0
partialsums,perl,3,250000,389,1.788,1476,0,%,0
partialsums,perl,3,2500000,389,17.405,1476,0,%,0
pidigits,perl,1,500,452,2.624,3324,0,%,0
pidigits,perl,1,1500,452,8.485,3408,0,%,0
pidigits,perl,1,2500,452,15.301,3500,0,%,0
pidigits,perl,2,500,385,0.54,2404,0,%,0
pidigits,perl,2,1500,385,1.836,2464,0,%,0
pidigits,perl,2,2500,385,3.608,2532,0,%,0
recursive,perl,2,3,380,5.06,1544,0,%,0
recursive,perl,2,7,380,36.278,2080,0,%,0
recursive,perl,2,11,380,898.78,10836,0,%,0
regexdna,perl,1,100000,426,0.708,5464,0,%,0
regexdna,perl,1,300000,426,2.008,13324,0,%,0
regexdna,perl,1,500000,426,3.336,21956,0,%,0
regexdna,perl,2,100000,449,2.788,5836,0,%,0
regexdna,perl,2,300000,449,8.121,16896,0,%,0
regexdna,perl,2,500000,449,13.705,24852,0,%,0
regexdna,perl,3,100000,440,0.3,7680,0,%,0
regexdna,perl,3,300000,440,0.78,19104,0,%,0
regexdna,perl,3,500000,440,1.256,31584,0,%,0
regexdna,perl,4,100000,431,2.408,5192,0,%,0
regexdna,perl,4,300000,431,7.14,14000,0,%,0
regexdna,perl,4,500000,431,11.813,21408,0,%,0
regexdna,perl,5,100000,479,0.516,6376,0,%,0
regexdna,perl,5,300000,479,1.412,15292,0,%,0
regexdna,perl,5,500000,479,2.356,24760,0,%,0
regexdna,perl,6,100000,471,0.296,5960,0,%,0
regexdna,perl,6,300000,471,0.756,13736,0,%,0
regexdna,perl,6,500000,471,1.228,22120,0,%,0
revcomp,perl,2,25000,298,0.072,1912,0,%,0
revcomp,perl,2,250000,298,0.244,5408,0,%,0
revcomp,perl,2,2500000,298,1.988,38360,0,%,0
spectralnorm,perl,2,500,334,34.194,1548,0,%,0
spectralnorm,perl,2,3000,334,1376.574,2092,0,%,0
spectralnorm,perl,2,5500,334,4089.084,2468,0,%,0
sumcol,perl,1,1000,84,0.916,1468,0,%,0
sumcol,perl,1,11000,84,9.501,1472,0,%,0
sumcol,perl,1,21000,84,18.173,1468,0,%,0
threadring,perl,1,100000,353,0,0,-1,%,0
threadring,perl,1,1000000,353,0,0,-1,%,0
threadring,perl,1,10000000,353,0,0,-1,%,0
threadring,perl,2,100000,288,0,0,-2,%,0
threadring,perl,2,1000000,288,0,0,-2,%,0
threadring,perl,2,10000000,288,0,0,-2,%,0
