binarytrees,ifc,1,12,826,0.272,2932,0,%,0
binarytrees,ifc,1,14,826,1.192,2932,0,%,0
binarytrees,ifc,1,16,826,5.636,5848,0,%,0
fannkuch,ifc,1,9,521,0.08,3116,0,%,0
fannkuch,ifc,1,10,521,0.576,3116,0,%,0
fannkuch,ifc,1,11,521,6.82,3120,0,%,0
fasta,ifc,1,250000,1155,0.376,3124,0,%,0
fasta,ifc,1,2500000,1155,3.528,3124,0,%,0
fasta,ifc,1,25000000,1155,35.53,3124,0,%,0
hello,ifc,1,1,83,0.044,3124,0,%,0
hello,ifc,1,50,83,0.396,3124,0,%,0
hello,ifc,1,100,83,0.784,3124,0,%,0
hello,ifc,1,150,83,1.168,3128,0,%,0
hello,ifc,1,200,83,1.504,3128,0,%,0
knucleotide,ifc,1,10000,2238,0.312,10224,0,%,0
knucleotide,ifc,1,100000,2238,1.904,44904,0,%,0
knucleotide,ifc,1,1000000,2238,13.509,46992,0,%,0
mandelbrot,ifc,1,400,485,0.12,3172,0,%,0
mandelbrot,ifc,1,600,485,0.212,3172,0,%,0
mandelbrot,ifc,1,3000,485,4.4,3388,0,%,0
mandelbrot,ifc,2,400,800,0,0,-2,%,0
mandelbrot,ifc,2,600,800,0,0,-2,%,0
mandelbrot,ifc,2,3000,800,0,0,-2,%,0
nbody,ifc,1,200000,1389,0.176,3108,0,%,0
nbody,ifc,1,2000000,1389,1.508,3108,0,%,0
nbody,ifc,1,20000000,1389,15.141,3108,0,%,0
nsieve,ifc,2,8,335,0.808,4260,0,%,0
nsieve,ifc,2,9,335,1.744,6760,0,%,0
nsieve,ifc,2,10,335,3.716,11756,0,%,0
nsievebits,ifc,1,9,406,0.712,3168,0,%,0
nsievebits,ifc,1,10,406,1.92,3116,0,%,0
nsievebits,ifc,1,11,406,4.728,4264,0,%,0
partialsums,ifc,1,25000,471,0.04,3112,0,%,0
partialsums,ifc,1,250000,471,0.156,3112,0,%,0
partialsums,ifc,1,2500000,471,1.336,3112,0,%,0
partialsums,ifc,2,25000,525,0.04,3116,0,%,0
partialsums,ifc,2,250000,525,0.16,3116,0,%,0
partialsums,ifc,2,2500000,525,1.36,3116,0,%,0
pidigits,ifc,1,1500,1768,0,0,-2,%,0
pidigits,ifc,1,2500,1768,0,0,-2,%,0
pidigits,ifc,1,5000,1768,0,0,-2,%,0
recursive,ifc,1,3,620,0.068,3160,0,%,0
recursive,ifc,1,7,620,0.312,3108,0,%,0
recursive,ifc,1,11,620,7.16,3108,0,%,0
regexdna,ifc,1,100000,2425,0.972,4608,0,%,0
regexdna,ifc,1,300000,2425,2.792,9960,0,%,0
regexdna,ifc,1,500000,2425,4.664,15324,0,%,0
revcomp,ifc,2,25000,772,0.072,3116,0,%,0
revcomp,ifc,2,250000,772,0.436,3116,0,%,0
revcomp,ifc,2,2500000,772,4.184,24756,0,%,0
spectralnorm,ifc,1,500,523,0.148,18508,0,%,0
spectralnorm,ifc,1,3000,523,4.132,18508,0,%,0
spectralnorm,ifc,1,5500,523,13.865,18564,0,%,0
spectralnorm,ifc,2,500,513,0.168,18512,0,%,0
spectralnorm,ifc,2,3000,513,4.4,18512,0,%,0
spectralnorm,ifc,2,5500,513,14.697,18516,0,%,0
sumcol,ifc,1,1000,131,4.204,14880,0,%,0
sumcol,ifc,1,11000,131,48.695,14880,0,%,0
sumcol,ifc,1,21000,131,99.602,14880,0,%,0
