name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,clang,9,20,1103,14.330,228988,0,87% 90% 91% 93%,3.977
binarytrees,llvmgcc,5,20,963,74.860,450060,0,87% 97% 92% 96%,20.231
binarytrees,ghc,1,20,512,120.340,308048,0,45% 71% 68% 50%,42.805
binarytrees,gcc,1,20,706,35.110,131544,0,0% 0% 0% 100%,35.130
binarytrees,fsharp,2,20,685,75.430,351648,0,5% 0% 89% 4%,75.437
binarytrees,llvmgcc,9,20,1103,14.630,229128,0,90% 94% 87% 92%,4.050
binarytrees,gcc,7,20,850,14.430,150960,0,51% 44% 66% 74%,5.703
binarytrees,ghc,4,20,604,396.010,768408,0,99% 95% 95% 95%,103.213
binarytrees,ghc,2,20,512,118.210,308272,0,48% 74% 59% 58%,42.085
binarytrees,clang,7,20,850,18.250,149384,0,0% 0% 100% 0%,18.264
binarytrees,llvmgcc,7,20,850,19.710,150960,0,58% 49% 86% 69%,7.047
binarytrees,java,2,20,603,13.140,489088,0,11% 23% 78% 12%,10.513
binarytrees,fsharp,3,20,756,52.440,377532,0,81% 0% 0% 17%,52.459
binarytrees,gcc,9,20,1103,9.490,228984,0,82% 67% 99% 89%,2.828
binarytrees,csharp,2,20,650,60.070,601712,0,13% 84% 3% 0%,60.087
binarytrees,gcc,5,20,963,68.630,537028,0,95% 95% 97% 96%,17.990
binarytrees,llvmgcc,1,20,706,40.950,131544,0,0% 0% 100% 0%,40.975
binarytrees,clang,1,20,706,36.360,131544,0,0% 0% 0% 100%,36.385
binarytrees,java,1,20,1007,18.560,496572,0,71% 61% 31% 46%,8.860
binarytrees,clang,5,20,963,69.480,484952,0,94% 96% 90% 99%,18.370
chameneosredux,gcc,5,6000000,2879,3.080,604,0,99% 93% 94% 98%,0.804
chameneosredux,ghc,4,6000000,991,185.840,2536,0,51% 48% 45% 51%,70.446
chameneosredux,java,2,6000000,1429,39.600,31048,0,62% 74% 72% 60%,12.956
chameneosredux,gcc,2,6000000,1663,48.130,620,0,83% 86% 83% 67%,13.785
chameneosredux,llvmgcc,2,6000000,1663,48.090,624,0,84% 81% 71% 88%,13.753
chameneosredux,clang,2,6000000,1663,46.190,624,0,79% 84% 72% 81%,13.278
chameneosredux,csharp,1,6000000,1400,94.500,21012,0,77% 82% 84% 79%,26.669
chameneosredux,clang,5,6000000,2879,2.470,624,0,97% 100% 100% 95%,0.641
chameneosredux,llvmgcc,5,6000000,2879,2.520,620,0,100% 95% 94% 98%,0.662
chameneosredux,java,1,6000000,1770,14.790,37152,0,37% 40% 30% 32%,8.899
fannkuchredux,ghc,1,12,544,839.830,3624,0,23% 44% 38% 26%,565.152
fannkuchredux,gcc,1,12,508,59.610,316,0,0% 0% 100% 0%,59.627
fannkuchredux,clang,1,12,508,76.310,316,0,0% 0% 100% 0%,76.337
fannkuchredux,fsharp,1,12,551,156.070,19704,0,40% 0% 0% 58%,155.963
fannkuchredux,llvmgcc,1,12,508,74.570,316,0,3% 0% 100% 0%,74.593
fannkuchredux,java,2,12,514,82.670,15960,0,0% 0% 3% 100%,82.664
fannkuchredux,csharp,2,12,564,56.910,12172,0,0% 0% 100% 0%,56.929
fannkuchredux,java,3,12,1633,45.780,17828,0,99% 99% 99% 100%,11.551
fannkuchredux,java,1,12,1282,68.430,15280,0,99% 98% 100% 98%,17.330
fannkuchredux,csharp,3,12,1096,93.640,14696,0,98% 97% 98% 98%,24.046
fannkuchredux,csharp,1,12,520,93.090,12960,0,0% 0% 100% 0%,93.120
fannkuchredux,ghc,3,12,1147,144.860,1260,0,30% 100% 30% 85%,59.059
fasta,ghc,3,25000000,1406,18.210,2296,0,35% 3% 44% 25%,16.295
fasta,gcc,2,25000000,1168,2.020,320,0,0% 0% 0% 100%,2.032
fasta,llvmgcc,3,25000000,1321,1.910,316,0,3% 0% 1% 97%,1.913
fasta,clang,1,25000000,1185,7.880,316,0,0% 0% 100% 0%,7.889
fasta,csharp,2,25000000,1180,6.110,12612,0,0% 0% 0% 100%,6.118
fasta,ghc,1,25000000,1410,11.790,2296,0,20% 2% 77% 7%,11.022
fasta,csharp,1,25000000,1434,2.670,13100,0,0% 0% 0% 100%,2.682
fasta,llvmgcc,2,25000000,1168,2.020,316,0,0% 1% 0% 100%,2.030
fasta,llvmgcc,1,25000000,1185,7.490,316,0,0% 1% 100% 0%,7.499
fasta,java,2,25000000,1240,8.150,15576,0,0% 1% 100% 1%,8.097
fasta,gcc,1,25000000,1185,8.300,316,0,0% 0% 0% 100%,8.309
fasta,java,3,25000000,1436,2.440,14952,0,0% 1% 100% 1%,2.425
fasta,clang,4,25000000,1221,5.780,320,0,0% 0% 0% 100%,5.793
fasta,gcc,3,25000000,1321,1.620,320,0,1% 1% 100% 1%,1.626
fasta,gcc,4,25000000,1221,6.050,320,0,0% 0% 100% 0%,6.062
fasta,fsharp,1,25000000,1065,8.500,15392,0,0% 0% 0% 100%,8.505
fasta,llvmgcc,4,25000000,1221,5.770,320,0,1% 0% 100% 1%,5.776
fasta,clang,3,25000000,1321,1.870,316,0,1% 0% 1% 100%,1.876
fasta,clang,2,25000000,1168,2.000,316,0,0% 0% 23% 100%,2.006
knucleotide,java,9,25000000,2431,27.650,397356,0,90% 94% 89% 91%,7.574
knucleotide,clang,6,25000000,2439,61.670,180368,0,75% 75% 97% 79%,18.853
knucleotide,llvmgcc,7,25000000,2280,46.220,180356,0,94% 39% 97% 58%,16.054
knucleotide,llvmgcc,5,25000000,2519,60.040,282048,0,85% 89% 66% 98%,17.841
knucleotide,java,2,25000000,1602,49.510,945624,0,81% 81% 83% 99%,14.355
knucleotide,gcc,5,25000000,2519,58.120,282084,0,95% 96% 45% 51%,20.153
knucleotide,csharp,4,25000000,1696,88.350,560864,0,75% 75% 98% 72%,27.592
knucleotide,ghc,3,25000000,2749,107.350,362264,0,0% 2% 10% 92%,107.416
knucleotide,csharp,2,25000000,1012,153.930,301292,0,0% 51% 48% 0%,153.948
knucleotide,clang,7,25000000,2280,45.600,180428,0,38% 53% 97% 97%,16.046
knucleotide,llvmgcc,6,25000000,2439,62.250,180428,0,87% 98% 81% 67%,18.850
knucleotide,gcc,7,25000000,2280,44.540,180484,0,92% 36% 97% 50%,16.142
knucleotide,gcc,6,25000000,2439,59.660,180360,0,53% 72% 97% 98%,18.622
knucleotide,java,3,25000000,1630,49.570,488328,0,84% 80% 96% 83%,14.437
knucleotide,clang,5,25000000,2519,59.280,282140,0,96% 97% 48% 51%,20.369
knucleotide,csharp,3,25000000,1404,95.250,335240,0,85% 79% 66% 87%,29.956
knucleotide,csharp,1,25000000,1420,94.220,540044,0,0% 4% 95% 0%,94.256
mandelbrot,gcc,6,16000,879,24.140,27104,0,100% 100% 100% 100%,6.052
mandelbrot,llvmgcc,2,16000,400,50.750,372,0,0% 0% 100% 0%,50.773
mandelbrot,java,3,16000,903,46.400,67572,0,99% 99% 99% 99%,11.723
mandelbrot,gcc,4,16000,799,23.570,26704,0,100% 100% 100% 100%,5.912
mandelbrot,clang,6,16000,879,0.000,0,-11,%,0.000
mandelbrot,java,1,16000,665,43.770,14724,0,0% 0% 100% 0%,43.776
mandelbrot,clang,3,16000,763,0.000,0,-11,%,0.000
mandelbrot,gcc,1,16000,822,24.100,26808,0,100% 100% 100% 100%,6.040
mandelbrot,clang,4,16000,799,0.000,0,-11,%,0.000
mandelbrot,llvmgcc,1,16000,822,24.670,27576,0,100% 100% 100% 100%,6.188
mandelbrot,llvmgcc,4,16000,799,24.270,30204,0,0% 0% 100% 0%,24.282
mandelbrot,csharp,1,16000,798,46.350,48724,0,96% 96% 96% 99%,11.951
mandelbrot,java,6,16000,802,31.440,68232,0,98% 98% 98% 99%,7.976
mandelbrot,fsharp,3,16000,825,50.020,51044,0,94% 94% 100% 95%,13.052
mandelbrot,csharp,3,16000,701,45.550,48620,0,96% 96% 96% 99%,11.775
mandelbrot,gcc,3,16000,763,23.690,31784,0,99% 99% 100% 99%,5.957
mandelbrot,clang,2,16000,400,49.390,392,0,0% 0% 100% 0%,49.406
mandelbrot,fsharp,2,16000,1118,49.100,22024,0,90% 90% 98% 88%,13.393
mandelbrot,clang,1,16000,822,0.000,0,-11,%,0.000
mandelbrot,csharp,2,16000,484,44.810,13924,0,0% 0% 100% 0%,44.824
mandelbrot,ghc,2,16000,772,47.540,39088,0,100% 100% 100% 100%,11.919
mandelbrot,llvmgcc,3,16000,763,24.900,31784,0,100% 100% 100% 99%,6.260
mandelbrot,llvmgcc,6,16000,879,24.530,26036,0,100% 100% 100% 100%,6.152
mandelbrot,gcc,2,16000,400,49.460,376,0,0% 0% 100% 0%,49.474
meteor,ghc,4,2098,793,3.080,3864,0,9% 9% 100% 8%,2.281
meteor,java,2,2098,5177,0.430,384,0,38% 0% 30% 96%,0.277
meteor,java,1,2098,4368,0.860,20084,0,84% 9% 15% 9%,0.777
meteor,ghc,3,2098,1801,0.780,3084,0,13% 7% 100% 15%,0.557
meteor,ghc,1,2098,2196,1.250,3616,0,12% 12% 100% 15%,0.913
meteor,clang,1,2098,3066,0.070,0,0,0% 0% 100% 0%,0.081
meteor,gcc,1,2098,3066,0.090,0,0,0% 0% 0% 100%,0.098
meteor,ghc,2,2098,1886,0.930,3088,0,12% 6% 100% 14%,0.668
meteor,ghc,5,2098,2908,0.000,0,-11,%,0.000
meteor,llvmgcc,1,2098,3066,0.080,0,0,0% 0% 0% 100%,0.087
nbody,csharp,1,50000000,1403,46.150,14076,0,0% 0% 100% 0%,46.171
nbody,java,2,50000000,1424,22.480,15080,0,0% 0% 0% 100%,22.479
nbody,csharp,3,50000000,1305,36.810,14036,0,0% 0% 100% 0%,36.830
nbody,gcc,5,50000000,1429,23.050,320,0,0% 0% 100% 0%,23.056
nbody,clang,5,50000000,1429,20.450,316,0,0% 0% 0% 100%,20.467
nbody,llvmgcc,1,50000000,1173,25.360,340,0,0% 0% 0% 100%,25.377
nbody,gcc,1,50000000,1173,25.080,316,0,0% 0% 0% 100%,25.087
nbody,fsharp,1,50000000,1361,37.720,23536,0,64% 0% 36% 0%,37.738
nbody,ghc,1,50000000,1687,29.820,2300,0,4% 40% 45% 21%,26.334
nbody,clang,1,50000000,1173,20.620,320,0,0% 0% 100% 0%,20.635
nbody,clang,2,50000000,1263,22.360,316,0,0% 0% 100% 0%,22.370
nbody,llvmgcc,5,50000000,1429,20.060,320,0,0% 0% 0% 100%,20.068
nbody,llvmgcc,2,50000000,1263,23.550,344,0,0% 0% 100% 0%,23.557
nbody,gcc,2,50000000,1263,24.840,316,0,0% 0% 100% 0%,24.853
nbody,csharp,2,50000000,1410,37.540,14080,0,2% 0% 100% 1%,37.558
pidigits,gcc,4,10000,541,2.290,880,0,0% 0% 100% 0%,2.295
pidigits,java,1,10000,800,36.700,224212,0,8% 1% 47% 48%,35.464
pidigits,java,2,10000,938,0.000,0,-2,0% 0% 71% 0%,0.067
pidigits,fsharp,3,10000,984,86.140,15164,0,0% 0% 0% 100%,86.178
pidigits,csharp,3,10000,1026,86.140,14792,0,0% 0% 0% 100%,86.173
pidigits,clang,4,10000,541,2.290,884,0,2% 0% 100% 0%,2.294
pidigits,ghc,4,10000,332,4.540,6244,0,16% 14% 100% 17%,2.719
pidigits,llvmgcc,4,10000,541,2.290,884,0,2% 0% 0% 100%,2.293
pidigits,csharp,2,10000,856,40.980,44624,0,0% 0% 99% 0%,41.025
pidigits,java,4,10000,1816,11.900,58656,0,65% 57% 56% 63%,4.443
pidigits,fsharp,1,10000,617,67.210,53248,0,0% 88% 11% 0%,67.287
regexdna,ghc,2,5000000,1516,0.000,0,-11,%,0.000
regexdna,gcc,4,5000000,1525,21.660,96836,0,66% 67% 74% 100%,7.042
regexdna,csharp,6,5000000,638,82.640,333088,0,57% 58% 62% 82%,31.878
regexdna,llvmgcc,1,5000000,2579,5.660,318796,0,37% 65% 43% 73%,2.588
regexdna,java,6,5000000,1410,23.030,606432,0,84% 83% 86% 93%,6.643
regexdna,java,2,5000000,1534,40.190,746416,0,84% 68% 68% 74%,13.487
regexdna,fsharp,2,5000000,497,83.360,874344,0,28% 72% 0% 1%,83.408
regexdna,java,4,5000000,921,25.680,824204,0,1% 1% 99% 1%,25.108
regexdna,clang,1,5000000,2579,5.730,320164,0,67% 40% 86% 46%,2.539
regexdna,gcc,2,5000000,1099,26.340,124784,0,0% 0% 100% 0%,26.350
regexdna,clang,4,5000000,1525,0.000,0,-11,%,0.000
regexdna,clang,2,5000000,1099,26.320,124988,0,0% 0% 0% 100%,26.335
regexdna,llvmgcc,4,5000000,1525,21.680,89448,0,68% 66% 95% 78%,7.043
regexdna,gcc,1,5000000,2579,5.680,317424,0,67% 39% 46% 74%,2.567
regexdna,java,5,5000000,929,25.210,628588,0,52% 52% 51% 91%,10.215
regexdna,csharp,1,5000000,624,81.510,598476,0,0% 0% 0% 100%,81.543
regexdna,llvmgcc,2,5000000,1099,26.320,124784,0,0% 0% 100% 0%,26.337
regexdna,java,3,5000000,2084,7.640,272736,0,66% 57% 69% 73%,2.901
revcomp,java,1,25000000,476,1.700,482888,0,0% 2% 97% 4%,1.690
revcomp,csharp,1,25000000,1099,3.650,174260,0,1% 0% 1% 99%,3.660
revcomp,ghc,2,25000000,913,3.700,618532,0,5% 6% 100% 7%,3.090
revcomp,ghc,3,25000000,994,1.780,121656,0,3% 6% 8% 100%,1.451
revcomp,gcc,1,25000000,1867,1.030,374196,0,26% 0% 29% 87%,0.738
revcomp,clang,4,25000000,722,1.240,125140,0,0% 0% 1% 100%,1.249
revcomp,llvmgcc,1,25000000,1867,1.030,372884,0,29% 0% 29% 86%,0.743
revcomp,gcc,4,25000000,722,1.310,125140,0,1% 1% 1% 100%,1.314
revcomp,csharp,3,25000000,863,5.930,284632,0,5% 0% 1% 91%,5.942
